colgpa,SAT,athlete,hsize,hsrank,hsperc,female
3.69,1340,0,111,15,13.51351,1
1.75,900,0,86,16,18.60465,0
2.19,650,1,206,57,27.6699,0
3.4,1190,0,424,26,6.132075,1
1.43,990,0,251,39,15.53785,1
2.78,1160,0,372,79,21.23656,1
2.61,1140,1,241,24,9.958507,0
3.09,1180,1,469,36,7.675906,0
2.83,1120,0,10,1,10,1
1.93,1010,0,319,157,49.2163,1
2.88,1160,0,402,15,3.731343,0
3.31,1200,0,432,209,48.37963,1
1.93,720,1,430,230,53.48837,1
2.41,1190,0,261,97,37.16475,0
2.92,970,0,341,116,34.0176,1
3.52,1210,0,511,1,0.1956947,1
2.93,930,0,200,65,32.5,0
2.28,1000,0,236,75,31.77966,0
1.95,970,0,433,130,30.02309,0
3.02,960,1,10,3,30,1
3.25,980,0,10,4,40,0
3.32,960,0,226,96,42.47787,0
2.03,970,1,10,3,30,0
2.34,960,0,74,7,9.459459,1
3.41,1160,0,212,19,8.962264,0
2.56,1080,0,212,100,47.16981,0
4,990,0,305,3,0.9836066,1
1.33,1130,0,235,91,38.7234,1
2.25,1060,0,235,66,28.08511,0
2.6,1060,0,235,44,18.7234,1
2.63,1120,0,295,15,5.084746,0
2.58,1030,0,278,59,21.22302,0
3.04,1070,0,315,99,31.42857,0
2.76,910,0,372,85,22.84946,0
1.95,1100,0,373,188,50.40215,0
2.92,1000,0,373,127,34.04826,0
3.41,1000,0,371,99,26.68464,0
2.73,970,0,410,113,27.56098,1
2.54,1070,0,600,62,10.33333,0
3.06,950,0,285,24,8.421053,0
1.93,1140,0,217,34,15.6682,1
3.23,1060,0,156,27,17.30769,0
2.54,940,1,251,45,17.92829,0
2.22,960,0,100,39,39,0
1.99,890,0,210,38,18.09524,0
1.75,1120,0,328,152,46.34146,1
3.14,1150,0,10,4,40,0
3.24,1270,0,10,4,40,0
2,1100,0,10,4,40,1
2.5,1150,0,10,5,50,0
1.6,1090,0,150,79,52.66667,0
3.05,1220,0,10,5,50,1
2.41,1070,0,10,5,50,0
2.73,1030,0,136,4,2.941176,1
2.93,980,0,320,17,5.3125,0
2.5,930,0,271,40,14.76015,1
2.69,1030,0,308,62,20.12987,1
2.61,1100,1,306,99,32.35294,0
2.94,1100,0,310,28,9.032258,0
3.44,1070,0,178,10,5.617978,0
3.12,980,0,227,21,9.251101,0
3.46,1000,0,178,23,12.92135,1
3.64,1190,0,178,40,22.47191,1
2.57,1060,0,261,76,29.11877,0
3.43,1240,0,294,41,13.94558,1
2.24,950,0,212,70,33.01887,1
2.78,1300,0,261,142,54.40613,0
2.13,860,1,274,110,40.14598,0
2.69,1010,0,256,74,28.90625,0
3.29,1180,0,256,94,36.71875,1
2.31,1040,0,10,4,40,1
2.31,1010,0,195,36,18.46154,1
1.88,1000,0,196,35,17.85714,0
2.47,1030,0,10,3,30,0
2.66,1100,0,236,22,9.322034,0
2.77,1240,0,58,16,27.58621,0
3.77,1110,1,48,20,41.66667,1
1,1070,0,186,87,46.77419,0
2.02,1040,0,195,60,30.76923,0
3.43,1290,0,231,1,0.4329004,1
2.69,1010,0,231,36,15.58442,0
3.7,1080,0,51,8,15.68627,0
3.68,1120,0,344,8,2.325581,1
1.97,1210,0,344,120,34.88372,0
2.93,990,0,401,94,23.4414,1
2.23,1130,0,110,64,58.18182,0
2.12,840,1,48,32,66.66666,1
3.66,1050,0,550,39,7.090909,1
1.8,1050,1,620,266,42.90322,0
2.48,1000,0,550,117,21.27273,1
2.97,1020,0,463,28,6.047516,1
1.7,960,0,550,163,29.63636,1
1.98,890,1,768,451,58.72396,1
4,1320,0,854,3,0.3512881,0
3.37,1140,0,161,4,2.484472,1
1.84,1000,0,152,41,26.97368,0
2.15,1040,0,161,89,55.2795,0
1.81,850,1,179,153,85.47486,0
3.56,1050,0,600,21,3.5,1
2.07,1140,0,270,16,5.925926,0
2.23,1120,0,463,42,9.071275,1
3.11,1060,0,152,21,13.81579,1
2.72,1090,0,661,159,24.05446,0
2.11,1080,0,40,21,52.5,0
2.75,1070,0,512,70,13.67188,1
3.16,1130,0,584,100,17.12329,0
3.69,1410,0,361,19,5.263158,0
2.45,1000,0,393,73,18.57506,0
3.72,1130,0,361,28,7.756233,0
2.02,1130,0,361,60,16.6205,1
3.13,1120,0,353,29,8.215298,1
2.76,1180,0,275,4,1.454545,0
2.87,1020,0,580,22,3.793103,1
2.43,810,0,647,69,10.66461,1
3.06,940,0,234,14,5.982906,1
2.75,880,0,321,51,15.88785,1
2.46,910,1,386,190,49.2228,0
4,1490,0,400,1,0.25,1
3.01,1040,0,435,35,8.045977,0
3.3,1220,0,435,93,21.37931,0
3.42,1140,0,159,4,2.515723,1
3.43,1170,0,561,89,15.86453,0
0.6,910,1,563,328,58.25933,0
3.71,1290,0,521,19,3.646833,0
3.38,1340,0,499,4,0.8016032,0
2.62,1110,0,344,99,28.77907,0
3.49,1040,0,320,20,6.25,0
2.53,1070,0,37,11,29.72973,0
3.77,1200,0,325,7,2.153846,0
2.65,950,0,340,46,13.52941,0
2.67,1110,1,4,2,50,1
2.35,970,0,454,140,30.837,0
2.67,1090,0,364,33,9.065934,1
2.05,960,0,371,110,29.6496,1
2.31,980,0,10,6,60,1
2.92,1070,0,362,61,16.85083,0
2.94,1040,0,127,7,5.511811,0
3.28,1170,1,470,127,27.02128,0
2.72,1010,0,467,116,24.8394,0
2.93,1110,0,396,46,11.61616,1
2.2,890,0,396,100,25.25253,1
2.42,950,0,650,75,11.53846,0
2.85,780,1,654,81,12.38532,1
2.16,1230,0,339,13,3.834808,1
3.55,1160,0,194,4,2.061856,1
2.46,1020,0,252,56,22.22222,1
2.26,1200,0,10,3,30,0
3.47,1230,0,268,6,2.238806,0
2.2,1110,0,10,4,40,1
2.34,1250,0,115,11,9.565217,0
2.18,980,0,115,55,47.82609,0
3.1,1100,0,94,44,46.80851,0
2,880,0,254,116,45.66929,0
2.94,1050,0,316,8,2.531646,0
3.03,910,0,500,122,24.4,1
3.32,1140,0,594,47,7.912458,1
3.14,990,0,566,8,1.413428,0
2.76,1130,0,594,209,35.18518,0
1.29,1010,0,680,252,37.05882,1
3.11,1030,0,544,52,9.558824,1
2.12,1070,0,460,8,1.73913,1
2.72,900,0,311,17,5.466238,1
2.82,1030,0,449,33,7.349666,0
3.11,940,0,212,7,3.301887,1
2.46,1020,0,440,61,13.86364,0
3.01,980,0,213,10,4.694836,1
3.18,1060,0,393,47,11.95929,0
3.5,1160,0,403,20,4.962779,0
2.7,1210,0,435,25,5.747127,0
2.76,1050,0,250,32,12.8,1
2.88,1160,0,494,94,19.02834,0
3.61,850,0,173,26,15.0289,1
2.71,950,0,61,16,26.22951,1
2.43,940,0,428,47,10.98131,1
3.2,1040,0,401,42,10.47382,1
3.02,1090,0,394,24,6.091371,0
4,1210,0,448,6,1.339286,0
3.2,1100,0,124,1,0.8064516,1
1.82,1180,1,321,167,52.02492,0
1.41,750,0,615,76,12.35772,0
3.76,1280,0,686,44,6.413994,0
2.62,940,0,10,6,60,0
1.93,1010,0,79,12,15.18987,1
2.69,990,0,174,71,40.8046,1
1.5,990,0,361,86,23.82271,0
3.16,1010,0,274,21,7.664234,1
3.11,1130,0,215,20,9.302325,1
3.29,970,0,213,15,7.042253,1
2.94,1050,0,372,18,4.83871,1
3.31,1080,0,60,12,20,0
2.93,1050,0,425,55,12.94118,0
3.28,1000,0,380,4,1.052632,1
3.46,1270,0,663,20,3.016591,0
2.27,1160,0,37,17,45.94595,0
1.5,930,0,360,123,34.16667,1
2.31,1010,0,400,57,14.25,0
3.62,1010,0,360,9,2.5,1
2.69,990,0,400,5,1.25,1
1.91,540,1,577,402,69.67071,0
2.53,1050,0,496,104,20.96774,0
3.62,1150,0,458,10,2.183406,1
2.9,1050,0,412,21,5.097087,0
3.13,990,0,109,23,21.10092,1
2.87,1050,0,488,56,11.47541,0
2.26,1170,0,393,84,21.37405,0
3.48,930,1,604,27,4.470199,1
2.44,1000,0,447,80,17.89709,0
3.17,1020,0,330,12,3.636364,1
3.08,1160,0,350,10,2.857143,1
3.38,1130,0,467,6,1.284797,1
3.06,900,0,360,7,1.944444,1
2.75,870,0,360,11,3.055556,1
3.06,970,0,111,14,12.61261,0
2.6,1090,0,128,30,23.4375,0
3.17,1040,0,540,36,6.666667,1
3.17,1070,0,601,84,13.97671,0
2.36,810,1,520,214,41.15385,0
3.21,1200,0,631,43,6.81458,0
3.59,1020,0,505,17,3.366337,1
2.84,1230,0,440,45,10.22727,1
2.98,1040,0,750,220,29.33333,1
1.9,830,0,731,271,37.0725,1
3.65,1230,0,250,3,1.2,0
4,1050,0,83,13,15.66265,1
2.36,910,0,370,116,31.35135,1
3.52,1070,0,370,42,11.35135,1
3.33,1050,0,370,30,8.108109,1
3.5,1110,0,321,23,7.165109,0
2.72,1170,0,790,65,8.227848,1
2.35,890,0,700,150,21.42857,1
2.26,720,0,425,147,34.58823,1
3,1170,0,144,29,20.13889,0
2.86,1140,0,354,8,2.259887,0
2.55,1200,0,480,38,7.916667,1
2.38,1010,0,403,35,8.684863,1
4,1330,0,303,1,0.330033,1
3.07,920,0,303,20,6.60066,0
2.41,1180,0,31,2,6.451613,0
3.42,1000,0,574,59,10.27875,1
2.86,1140,0,635,103,16.22047,1
3.78,1130,0,194,1,0.5154639,0
2.46,1010,1,457,123,26.91466,0
1.88,930,1,288,197,68.40278,0
2.37,1110,0,291,30,10.30928,1
2.07,850,1,537,234,43.57542,0
2.88,1050,0,562,23,4.092527,0
2.8,1080,0,771,207,26.84825,0
3.65,1240,0,745,22,2.95302,1
2.87,1060,0,637,192,30.14129,1
3.47,1160,1,637,101,15.85557,1
2.83,970,0,637,65,10.20408,1
2.41,1100,0,745,218,29.26175,0
3.85,1060,0,745,260,34.89933,1
2.46,790,0,200,7,3.5,1
1.09,880,0,417,101,24.22062,0
3.28,1000,0,53,16,30.18868,1
2.38,990,0,330,60,18.18182,1
2.3,1040,0,330,76,23.0303,0
3.28,1040,0,206,12,5.825243,1
3,840,0,339,58,17.10914,1
3.01,1060,0,284,24,8.450705,1
2.3,950,0,248,96,38.70968,1
2.33,1030,0,248,19,7.66129,1
3.41,920,0,351,36,10.25641,1
3.76,1220,0,174,5,2.873563,1
1.06,750,0,10,4,40,1
3.2,900,0,10,2,20,0
1.8,800,0,256,23,8.984375,1
2.35,880,0,10,4,40,1
3.5,870,1,10,2,20,1
3.29,910,0,230,7,3.043478,1
2.05,880,0,136,92,67.64706,0
2.97,1100,1,172,137,79.65116,0
2.51,1180,0,170,97,57.05882,0
0.55,1210,0,10,3,30,0
2.06,1100,0,5,3,60,0
3.29,1180,0,294,7,2.380952,1
2.33,1070,0,346,86,24.85549,1
2.22,1020,0,346,151,43.64162,1
2.87,1030,0,255,69,27.05882,1
2.85,1060,0,340,130,38.23529,0
3.27,1030,0,337,37,10.97923,0
2.71,1080,0,247,115,46.5587,0
2.02,1100,0,71,58,81.69014,0
2.3,1080,0,261,81,31.03448,0
2.56,850,0,221,94,42.53394,1
2.64,1040,0,204,56,27.45098,0
3.47,1070,0,383,8,2.088773,0
1.56,850,0,355,15,4.225352,1
2.29,730,0,261,43,16.4751,1
2.72,1040,0,40,32,80,0
2.53,1130,0,207,2,0.9661836,1
3.91,1200,0,240,3,1.25,1
3.78,1360,0,237,3,1.265823,0
2.6,700,1,238,102,42.85714,0
3.11,1120,0,38,6,15.78947,1
2,700,0,92,37,40.21739,0
2.21,960,0,290,25,8.620689,1
3.32,950,0,161,15,9.316771,1
2.44,750,1,215,68,31.62791,0
3.52,990,0,10,1,10,1
1.86,950,0,206,74,35.92233,0
2.15,1130,0,130,12,9.230769,1
2,980,1,190,42,22.10526,0
2,800,0,190,30,15.78947,1
3.38,1280,0,240,6,2.5,1
2.4,1070,0,10,2,20,0
3.47,1170,0,10,3,30,0
2.38,970,0,10,4,40,0
3.62,1130,0,240,6,2.5,1
2.86,860,0,270,55,20.37037,0
3.17,1060,0,10,2,20,1
2.64,1090,0,10,1,10,0
2.07,850,0,134,14,10.44776,0
2.27,1120,0,215,63,29.30233,1
2.93,960,0,216,59,27.31482,1
3.76,1270,0,315,1,0.3174603,0
3.15,1130,0,325,5,1.538462,1
3.11,1110,0,199,5,2.512563,0
2.46,830,0,372,71,19.08602,1
2.61,1150,0,372,89,23.92473,0
2.76,1210,0,290,17,5.862069,1
2.22,870,1,302,67,22.18543,0
2.9,1010,0,128,13,10.15625,0
2.67,990,0,128,8,6.25,1
2.28,1080,0,234,99,42.30769,0
3.53,1150,0,251,13,5.179283,1
2.86,1100,0,10,1,10,0
1.87,940,0,10,2,20,1
3.98,1360,0,283,1,0.3533569,0
2.52,820,0,10,2,20,1
1.07,760,0,10,3,30,1
2.04,680,1,91,13,14.28571,1
2.21,880,0,148,36,24.32432,1
2.71,1170,0,10,2,20,1
2.76,1220,1,10,3,30,0
2.87,1020,0,10,1,10,1
2.5,910,0,10,2,20,1
3.12,1090,0,10,2,20,1
3.13,990,0,10,3,30,1
2.86,910,0,10,3,30,0
2.11,1120,0,10,4,40,1
1.8,1090,0,10,3,30,0
3,1090,0,10,1,10,1
2.23,880,0,10,4,40,1
3.64,1060,0,10,2,20,0
3.28,930,0,10,3,30,1
3.09,730,0,10,1,10,1
3.31,970,0,10,1,10,1
1.83,900,0,10,4,40,1
3.76,1120,0,10,1,10,0
1.37,1000,0,275,92,33.45454,1
2.78,1130,0,275,108,39.27273,1
3.46,860,0,265,30,11.32076,1
2.2,830,0,275,146,53.09091,1
2.25,910,0,261,116,44.44444,1
2.65,1050,0,261,50,19.15709,1
2.06,930,0,275,117,42.54546,1
3.34,1050,0,232,34,14.65517,1
3.86,1240,0,242,3,1.239669,1
2.97,1230,0,103,6,5.825243,0
1.92,830,1,457,279,61.05033,0
1.93,950,0,515,181,35.14563,0
2.33,1200,0,300,53,17.66667,1
3.58,1180,0,425,28,6.588235,1
3.51,1200,0,37,2,5.405406,0
1.81,1010,0,186,47,25.26882,1
3.42,1160,0,199,17,8.542713,1
2.66,1070,0,13,3,23.07692,1
2.47,820,1,98,16,16.32653,0
2.42,1000,0,36,17,47.22222,0
2.73,1120,0,164,27,16.46342,0
2.07,740,1,61,8,13.11475,0
1.89,670,1,76,58,76.31579,0
2.31,980,0,450,67,14.88889,0
2.82,1130,0,12,3,25,1
3.45,1240,0,229,11,4.803493,0
2.23,720,1,10,7,70,0
1.72,690,1,214,86,40.18692,0
3.09,1210,0,10,1,10,1
2.33,1120,0,330,20,6.060606,1
2.18,1020,0,184,12,6.521739,1
2.8,1040,0,320,41,12.8125,0
3.14,1080,0,373,73,19.57104,1
3.25,1080,0,373,48,12.86863,0
2.99,1130,0,347,2,0.5763689,0
2.68,1120,0,338,77,22.78106,1
3.17,1120,0,338,71,21.00592,1
3.78,1190,0,269,1,0.3717472,0
1.9,1010,0,68,25,36.76471,1
2.71,1210,0,556,159,28.59712,0
2,1020,1,697,463,66.42754,0
3.2,1060,0,697,70,10.04304,1
2.18,790,0,815,258,31.65644,1
3.93,1220,0,697,3,0.4304161,1
1.86,850,0,697,257,36.87231,0
2.51,900,0,697,106,15.20803,1
2.5,1020,0,610,207,33.93443,1
2.86,1090,1,472,67,14.19491,0
3.42,1130,0,614,123,20.03257,1
2.76,1130,0,269,40,14.86989,0
3.28,910,0,269,51,18.95911,1
2.5,1040,0,210,24,11.42857,1
3.73,1160,0,494,2,0.4048583,0
2.5,1030,0,463,109,23.54212,0
2.39,1040,0,414,61,14.7343,1
2.68,1070,0,463,67,14.47084,1
2.88,1010,0,463,68,14.68682,0
2.75,750,0,225,48,21.33333,0
2.68,950,0,44,11,25,1
1.88,750,1,412,178,43.20388,0
3.43,1060,0,87,16,18.3908,1
0.25,990,0,475,142,29.89474,1
3.95,1360,0,411,13,3.163017,0
1.82,1080,0,386,33,8.549223,1
2.46,890,0,386,139,36.01036,1
2.1,1180,0,356,34,9.550562,0
2.23,1120,0,137,20,14.59854,1
2.96,990,0,118,23,19.49153,0
2.07,1100,0,10,2,20,0
3.41,1150,0,400,11,2.75,0
1.98,970,1,10,4,40,0
2.71,950,0,350,54,15.42857,1
2.52,960,0,10,6,60,0
3.22,1220,0,400,3,0.75,1
2.13,930,0,95,24,25.26316,0
3.64,1350,0,91,13,14.28571,0
3.48,1280,0,91,4,4.395605,0
2.66,1020,0,75,29,38.66667,0
2.58,940,0,101,1,0.990099,1
3.13,1160,0,519,30,5.780347,0
3.24,1020,1,450,39,8.666667,1
2,850,0,516,132,25.5814,1
2.5,1260,0,400,157,39.25,0
1.14,890,0,516,321,62.2093,1
1.63,940,0,519,135,26.01156,1
3.06,1160,0,400,60,15,0
2.26,1040,0,430,186,43.25581,0
2.88,1010,0,433,60,13.85681,1
2.87,1070,0,519,36,6.936416,1
3.12,1160,0,253,44,17.3913,1
2.75,1040,0,134,2,1.492537,1
3.17,1060,0,10,2,20,1
2.73,900,1,10,5,50,0
1.64,910,0,10,4,40,1
3.41,1130,0,10,2,20,1
2.76,1000,0,102,12,11.76471,1
2.42,890,0,10,4,40,1
1.69,1030,0,204,12,5.882353,1
3.26,1190,0,10,1,10,1
3.16,1150,0,450,9,2,0
3.53,1290,0,375,2,0.5333334,0
3.48,1180,0,142,6,4.225352,0
2.06,1220,0,423,64,15.13002,0
2.17,1100,0,42,3,7.142857,0
2.54,1030,0,150,25,16.66667,1
3.13,960,0,32,3,9.375,1
3.43,1080,0,211,39,18.48341,1
1.97,980,1,568,384,67.60564,0
1.6,880,0,624,80,12.82051,1
2.8,1090,0,412,34,8.252427,0
2.08,800,0,648,307,47.37654,1
1.8,960,0,508,91,17.91339,0
2.86,1100,0,703,346,49.21764,0
2.71,870,0,127,35,27.55906,1
2.12,960,0,511,84,16.43836,0
2.44,870,1,227,27,11.89427,1
2.46,1140,0,350,143,40.85714,0
2.83,1170,0,435,123,28.27586,0
3,1140,0,522,41,7.854406,0
3.57,1210,0,53,5,9.433962,0
3.88,1020,0,150,21,14,1
2.3,1050,0,471,130,27.60085,1
2.81,1130,0,471,63,13.3758,0
2.6,1160,0,414,52,12.56039,0
3.2,1070,0,396,71,17.92929,0
2.39,1020,0,505,183,36.23763,0
2.47,940,0,342,24,7.017544,0
1.97,950,0,374,87,23.26203,0
2.52,910,0,137,44,32.11679,1
2.96,1240,0,412,18,4.368932,1
3.2,970,0,223,43,19.28251,0
2.53,1140,0,171,83,48.53801,1
1.64,940,0,333,53,15.91592,1
2.79,940,0,383,53,13.83812,0
2.71,790,1,677,96,14.18021,1
3.34,1190,0,352,23,6.534091,0
2.97,1010,1,266,10,3.759398,1
2.95,1020,0,466,23,4.935622,1
2.6,1050,1,162,22,13.58025,1
2.87,1270,0,221,11,4.977376,0
2.76,860,1,113,29,25.66372,1
3.52,1140,1,454,36,7.929515,0
3.48,1310,0,52,1,1.923077,0
2.41,940,0,221,45,20.36199,0
2.74,1110,0,504,131,25.99206,1
2.9,970,0,401,75,18.70324,0
3.18,1140,0,499,28,5.611222,1
2.28,970,0,142,39,27.46479,0
2.4,840,0,142,57,40.14085,1
3.17,1150,0,47,12,25.53192,0
2.11,1020,0,390,83,21.28205,0
3.35,1210,0,383,75,19.58224,1
2.74,900,0,268,38,14.1791,0
2.6,850,1,256,39,15.23438,0
2.87,1320,0,10,2,20,1
2.4,1010,0,340,88,25.88235,1
2.11,920,0,290,113,38.96552,1
4,1330,0,218,6,2.752294,0
2.78,880,0,26,4,15.38461,0
2.94,1160,0,93,12,12.90323,1
2.7,1090,0,215,7,3.255814,0
1.41,1030,0,10,4,40,0
2.51,1150,0,94,13,13.82979,1
3.18,1020,0,148,30,20.27027,0
1.97,1030,0,120,68,56.66667,0
3.8,1380,0,123,1,0.8130081,0
3.44,1240,0,197,3,1.522843,0
4,1320,0,261,10,3.831418,1
2.5,990,0,385,93,24.15584,1
2.72,940,0,389,33,8.483291,1
2.53,980,0,321,108,33.64486,0
3.29,1120,0,321,31,9.657321,1
3.02,970,0,125,36,28.8,1
2.78,1010,0,125,47,37.6,1
2.06,1120,0,125,87,69.6,0
2.72,1110,0,60,12,20,0
3.55,1430,1,285,14,4.912281,0
2,900,0,250,10,4,1
2.84,1230,0,295,43,14.57627,0
2.36,1240,0,130,49,37.69231,1
3.88,1090,0,320,6,1.875,0
2.31,820,1,5,2,40,1
2.25,1000,0,251,93,37.05179,0
3.21,1050,0,10,5,50,1
2.59,1090,0,236,57,24.15254,1
3.2,1100,0,225,112,49.77778,0
2.53,860,0,655,100,15.26718,1
2.67,1320,0,428,171,39.95327,0
2.44,1190,0,10,4,40,1
2.64,1010,0,10,4,40,1
2.42,1090,0,172,8,4.651163,1
3,940,0,180,52,28.88889,1
2.95,990,0,625,19,3.04,1
3.25,1180,0,600,25,4.166667,1
2.68,1210,0,365,90,24.65753,0
2.73,1250,0,337,56,16.61721,0
1.29,950,0,328,29,8.841463,0
2.8,1010,0,327,66,20.18349,1
2,1060,0,260,45,17.30769,1
1.64,1000,0,260,68,26.15385,0
3.95,1030,0,105,6,5.714286,1
2.44,810,0,279,23,8.243728,1
3.76,1160,0,279,6,2.150538,0
2.41,980,0,22,13,59.09091,0
2.76,1000,0,276,70,25.36232,0
3.66,1170,0,252,10,3.968254,1
3.21,1190,0,265,20,7.54717,1
3.33,1180,0,308,59,19.15584,1
2.71,1190,0,261,46,17.62452,1
2.82,780,0,249,55,22.08835,0
3.41,1010,0,129,11,8.527132,0
1.77,850,1,358,135,37.7095,0
3.61,1240,0,358,1,0.2793296,1
1.77,1060,1,299,149,49.83278,0
2.55,1180,0,401,158,39.4015,0
2.7,830,0,393,134,34.09669,1
2.31,1070,0,416,120,28.84615,0
2.02,1090,0,595,319,53.61345,0
2.92,1000,0,139,44,31.65468,1
2.75,860,0,48,2,4.166667,1
2.18,1000,0,249,28,11.24498,1
2.36,1150,0,269,99,36.80297,0
3.53,1150,0,277,43,15.52347,0
3.87,1230,0,196,6,3.061224,0
2.57,1120,0,336,23,6.845238,0
1.36,870,0,362,105,29.00553,0
2.11,1190,0,132,34,25.75758,1
3.5,1060,0,132,58,43.93939,1
2.58,1050,0,382,9,2.356021,1
3.4,930,0,344,21,6.104651,1
2.79,1030,0,380,9,2.368421,0
2.7,970,0,10,2,20,1
2.88,1150,0,485,70,14.43299,0
2.42,1020,0,480,167,34.79167,1
3.42,1170,0,485,22,4.536082,1
3.06,1000,0,480,149,31.04167,1
3.29,1140,0,10,7,70,0
2.56,1070,0,304,19,6.25,1
1.97,940,0,420,140,33.33333,1
2.48,1040,0,420,84,20,0
2.44,1100,0,292,33,11.30137,0
2.74,1070,0,92,18,19.56522,1
2.83,1150,0,566,147,25.97173,0
2.66,1030,0,573,312,54.45026,1
4,1410,0,420,36,8.571428,0
2.85,1040,0,254,120,47.24409,0
2.5,900,0,234,69,29.48718,1
2.99,1000,0,296,97,32.77027,1
2.8,1140,0,320,100,31.25,0
2.65,1130,0,392,156,39.79592,0
2.82,1130,0,446,154,34.52915,1
2.81,1220,0,461,278,60.30369,0
3.37,1110,0,451,102,22.61641,0
2.72,1170,0,280,9,3.214286,1
3.46,1270,0,463,79,17.06264,1
3.26,850,0,464,130,28.01724,1
2.94,1040,0,464,122,26.2931,1
2.75,1140,0,81,35,43.20988,1
2.26,980,0,220,20,9.090909,1
4,1220,0,353,33,9.348442,1
3.4,1150,0,353,22,6.232295,0
2.9,890,0,429,78,18.18182,0
2.65,1030,0,419,142,33.89021,0
3.21,1180,0,421,58,13.77672,1
3.12,1030,0,421,59,14.01425,1
2.47,940,0,429,134,31.23543,1
3.07,1120,0,75,46,61.33333,1
1.76,970,0,10,8,80,1
3.44,1090,0,346,55,15.89595,0
3,940,0,270,6,2.222222,1
2.6,980,0,286,68,23.77622,1
3.58,1120,0,510,131,25.68627,1
3,1110,0,504,173,34.3254,0
2.07,1080,0,476,275,57.77311,0
3.82,1130,0,504,101,20.03968,0
2,1050,0,270,50,18.51852,0
2.67,1130,1,179,104,58.10056,0
2.64,1200,0,167,24,14.37126,0
2.53,1110,0,322,70,21.73913,1
2.26,800,0,10,4,40,0
3.02,1070,0,182,8,4.395605,0
2.45,930,0,228,128,56.14035,0
1.93,1170,0,228,13,5.701755,0
2.53,980,0,214,32,14.95327,0
2.11,1200,0,214,20,9.345795,0
3.4,1170,0,164,4,2.439024,0
